songTitle,artist,songCoverPixel,songCover,songSnippet,songFull,day,month
Let Her Go,Passenger,static/images/songCoverPixel/lethergo.jpg,static/images/songCover/lethergo.jpg,static/audio/songSnippet/lethergo.mp3,static/audio/songFull/lethergo.mp3,28,12
Cheap Thrills ,Sia ft Sean Paul,static/images/songCoverPixel/cheapthrills.png,static/images/songCover/cheapthrills.png,static/audio/songSnippet/cheapthrills.mp3,static/audio/songFull/cheapthrills.mp3,15,1
Stay With Me,Sam Smith,static/images/songCoverPixel/staywithme.png,static/images/songCover/staywithme.png,static/audio/songSnippet/staywithme.mp3,static/audio/songFull/staywithme.mp3,27,12
Girls like You,Maroon 5 ft Cardi B,static/images/songCoverPixel/girlslikeyou.png,static/images/songCover/girlslikeyou.png,static/audio/songSnippet/girlslikeyou.mp3,static/audio/songFull/girlslikeyou.mp3,20,3
thank u next,Ariana Grande,static/images/songCoverPixel/thankunext.png,static/images/songCover/thankunext.png,static/audio/songSnippet/thankunext.mp3,static/audio/songFull/thankunext.mp3,26,12
goosebumps,Travis Scott ft Drake,static/images/songCoverPixel/goosebumps.jpg,static/images/songCover/goosebumps.jpg,static/audio/songSnippet/goosebumps.mp3,static/audio/songFull/goosebumps.mp3,19,3
Too Good at Goodbyes,Sam Smith,static/images/songCoverPixel/toogoodatgoodbyes.jpg,static/images/songCover/toogoodatgoodbyes.jpg,static/audio/songSnippet/toogoodatgoodbyes.mp3,static/audio/songFull/toogoodatgoodbyes.mp3,16,2
7 years,Lukas Graham,static/images/songCoverPixel/7years.jpg,static/images/songCover/7years.jpg,static/audio/songSnippet/7years.mp3,static/audio/songFull/7years.mp3,15,2
I dont care,Ed Sheeran ft Justin Bieber,static/images/songCoverPixel/idontcare.png,static/images/songCover/idontcare.png,static/audio/songSnippet/idontcare.mp3,static/audio/songFull/idontcare.mp3,30,12
Cold Water,Major Lazer ft Justin Bieber,static/images/songCoverPixel/coldwater.jpg,static/images/songCover/coldwater.jpg,static/audio/songSnippet/coldwater.mp3,static/audio/songFull/coldwater.mp3,22,3
Cant Stop The Feeling,Justin Timberlake,static/images/songCoverPixel/cantstopthefeeling.png,static/images/songCover/cantstopthefeeling.png,static/audio/songSnippet/cantstopthefeeling.mp3,static/audio/songFull/cantstopthefeeling.mp3,21,3
What do you mean,Justin Bieber,static/images/songCoverPixel/whatdoyoumean.png,static/images/songCover/whatdoyoumean.png,static/audio/songSnippet/whatdoyoumean.mp3,static/audio/songFull/whatdoyoumean.mp3,29,12
Wake me up,Avicii,static/images/songCoverPixel/wakemeup.png,static/images/songCover/wakemeup.png,static/audio/songSnippet/wakemeup.mp3,static/audio/songFull/wakemeup.mp3,25,3
Stitches,Shawn Mendes,static/images/songCoverPixel/stitches.png,static/images/songCover/stitches.png,static/audio/songSnippet/stitches.mp3,static/audio/songFull/stitches.mp3,23,3
Without me,Halsey,static/images/songCoverPixel/withoutme.png,static/images/songCover/withoutme.png,static/audio/songSnippet/withoutme.mp3,static/audio/songFull/withoutme.mp3,24,3
Thats What I Like,Bruno Mars,static/images/songCoverPixel/thatswhatilike.jpg,static/images/songCover/thatswhatilike.jpg,static/audio/songSnippet/thatswhatilike.mp3,static/audio/songFull/thatswhatilike.mp3,31,12
I Like It,Cardi B,static/images/songCoverPixel/ilikeit.png,static/images/songCover/ilikeit.png,static/audio/songSnippet/ilikeit.mp3,static/audio/songFull/ilikeit.mp3,27,3
Circles,Post Malone,static/images/songCoverPixel/circles.png,static/images/songCover/circles.png,static/audio/songSnippet/circles.mp3,static/audio/songFull/circles.mp3,26,3
Psycho,Post Malone ft TY Dollar Sign,static/images/songCoverPixel/psycho.png,static/images/songCover/psycho.png,static/audio/songSnippet/psycho.mp3,static/audio/songFull/psycho.mp3,18,1
I Fall Apart,Post Malone,static/images/songCoverPixel/ifallapart.jpg,static/images/songCover/ifallapart.jpg,static/audio/songSnippet/ifallapart.mp3,static/audio/songFull/ifallapart.mp3,18,2
Cheerleader,OMI,static/images/songCoverPixel/cheerleader.jpg,static/images/songCover/cheerleader.jpg,static/audio/songSnippet/cheerleader.mp3,static/audio/songFull/cheerleader.mp3,19,2
Counting Stars,One Republic,static/images/songCoverPixel/countingstars.png,static/images/songCover/countingstars.png,static/audio/songSnippet/countingstars.mp3,static/audio/songFull/countingstars.mp3,19,1
Cant Hold Us,Macklemore and Ryan Lewis,static/images/songCoverPixel/cantholdus.png,static/images/songCover/cantholdus.png,static/audio/songSnippet/cantholdus.mp3,static/audio/songFull/cantholdus.mp3,29,3
See You Again,Wiz Khalifa and Charlie,static/images/songCoverPixel/seeyouagain.png,static/images/songCover/seeyouagain.png,static/audio/songSnippet/seeyouagain.mp3,static/audio/songFull/seeyouagain.mp3,17,2
Heathens ,Twenty One Pilots,static/images/songCoverPixel/heathens.jpg ,static/images/songCover/heathens.jpg ,static/audio/songSnippet/heathens.mp3,static/audio/songFull/heathens.mp3,28,3
One Kiss,Calvin Harris and Dua Lipa,static/images/songCoverPixel/onekiss.png,static/images/songCover/onekiss.png,static/audio/songSnippet/onekiss.mp3,static/audio/songFull/onekiss.mp3,17,1
Radioactive,Imagine Dragons,static/images/songCoverPixel/radioactive.jpg,static/images/songCover/radioactive.jpg,static/audio/songSnippet/radioactive.mp3,static/audio/songFull/radioactive.mp3,31,3
Attention,Charlie Puth,static/images/songCoverPixel/attention.jpg,static/images/songCover/attention.jpg,static/audio/songSnippet/attention.mp3,static/audio/songFull/attention.mp3,20,2
This is What You Came For,Calvin Harris and Rihanna,static/images/songCoverPixel/thisiswhatyoucamefor.png,static/images/songCover/thisiswhatyoucamefor.png,static/audio/songSnippet/thisiswhatyoucamefor.mp3,static/audio/songFull/thisiswhatyoucamefor.mp3,16,1
In My Feelings ,Drake,static/images/songCoverPixel/inmyfeelings.jpg,static/images/songCover/inmyfeelings.jpg,static/audio/songSnippet/inmyfeelings.mp3,static/audio/songFull/inmyfeelings.mp3,30,3
Cant Feel My Face,The Weekend,static/images/songCoverPixel/cantfeelmyface.png,static/images/songCover/cantfeelmyface.png,static/audio/songSnippet/cantfeelmyface.mp3,static/audio/songFull/cantfeelmyface.mp3,22,2
Eastside,"benny blanco, Halsey and Khaled",static/images/songCoverPixel/eastside.png,static/images/songCover/eastside.png,static/audio/songSnippet/eastside.mp3,static/audio/songFull/eastside.mp3,20,1
Hello,Adele,static/images/songCoverPixel/hello.png,static/images/songCover/hello.png,static/audio/songSnippet/hello.mp3,static/audio/songFull/hello.mp3,1,4
Moonlight,XXXTENTACION,static/images/songCoverPixel/moonlight.png,static/images/songCover/moonlight.png,static/audio/songSnippet/moonlight.mp3,static/audio/songFull/moonlight.mp3,21,2
The Hills,The Weeknd,static/images/songCoverPixel/thehills.jpg,static/images/songCover/thehills.jpg,static/audio/songSnippet/thehills.mp3,static/audio/songFull/thehills.mp3,21,1
Old Town Road,Lil Nas X ft Billy Ray Cyrus,static/images/songCoverPixel/oldtownroad.jpg,static/images/songCover/oldtownroad.jpg,static/audio/songSnippet/oldtownroad.mp3,static/audio/songFull/oldtownroad.mp3,24,1
I Like Me Better,Lauv,static/images/songCoverPixel/ilikemebetter.png,static/images/songCover/ilikemebetter.png,static/audio/songSnippet/ilikemebetter.mp3,static/audio/songFull/ilikemebetter.mp3,2,4
Taki Taki,"DJ Snake, Selena Gomez, Ozuna and Cardi B",static/images/songCoverPixel/takitaki.png,static/images/songCover/takitaki.png,static/audio/songSnippet/takitaki.mp3,static/audio/songFull/takitaki.mp3,23,1
Work from Home,Fifth Harmony ft TY Dollar Sign,static/images/songCoverPixel/workfromhome.png,static/images/songCover/workfromhome.png,static/audio/songSnippet/workfromhome.mp3,static/audio/songFull/workfromhome.mp3,3,4
Riptide,Vance Joy,static/images/songCoverPixel/riptide.jpg,static/images/songCover/riptide.jpg,static/audio/songSnippet/riptide.mp3,static/audio/songFull/riptide.mp3,23,2
